"Label","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","264","0.0%","0.0%","0.0%","0.0%","4.9%","18.6%","0.0%","35.2%","21.2%","20.1%","143,125","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,842","6.9%","7.7%","5.8%","10.6%","5.4%","27.0%","16.6%","14.7%","4.6%","0.6%","64,009","66,535","","(X)","(X)","17.0%"
"Census Tract 8.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,684","8.9%","1.0%","5.3%","2.2%","5.7%","2.7%","13.7%","11.2%","13.6%","35.8%","144,922","217,458","","21.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,229","5.9%","0.0%","0.0%","0.0%","0.8%","1.3%","2.9%","6.2%","21.3%","61.6%","247,426","348,403","","(X)","23.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","1,070","0.0%","0.0%","0.0%","0.0%","0.9%","1.5%","3.4%","5.4%","19.9%","68.9%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,455","11.5%","1.9%","9.8%","4.1%","9.8%","3.9%","22.7%","15.4%","9.5%","11.5%","88,652","103,870","","(X)","(X)","19.0%"
"Census Tract 8.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,374","8.2%","3.9%","0.0%","5.5%","2.8%","9.0%","16.0%","10.9%","9.1%","34.6%","114,091","195,319","","40.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","747","1.6%","0.0%","0.0%","2.4%","2.5%","6.8%","8.8%","10.6%","14.5%","52.7%","208,906","282,209","","(X)","40.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","590","0.0%","0.0%","0.0%","1.4%","3.2%","6.3%","8.6%","9.5%","12.7%","58.3%","240,455","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","627","15.9%","8.6%","0.0%","10.7%","3.2%","9.9%","27.0%","8.9%","4.6%","11.2%","75,453","84,946","","(X)","(X)","37.2%"
"Census Tract 9.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,545","0.9%","1.3%","1.3%","1.0%","2.0%","5.7%","4.9%","16.4%","4.4%","62.0%","250,000+","376,471","","32.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,159","2.2%","0.0%","0.8%","0.0%","1.6%","5.0%","2.0%","13.5%","5.0%","70.0%","250,000+","437,753","","(X)","32.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","1,104","2.3%","0.0%","0.8%","0.0%","0.9%","3.8%","2.1%","13.0%","4.3%","72.8%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","386","0.0%","2.3%","5.2%","4.1%","6.0%","7.8%","11.4%","25.1%","0.0%","38.1%","131,667","181,425","","(X)","(X)","25.4%"
"Census Tract 9.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","849","0.7%","0.0%","0.5%","1.5%","6.5%","6.5%","5.8%","12.1%","10.8%","55.6%","217,708","364,841","","31.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","691","1.4%","0.0%","0.0%","0.0%","4.6%","6.9%","6.1%","10.6%","10.6%","59.8%","231,066","409,078","","(X)","30.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","592","1.0%","0.0%","0.0%","0.0%","5.4%","4.6%","1.5%","9.3%","11.7%","66.6%","245,441","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","158","0.0%","0.0%","2.5%","8.2%","14.6%","7.6%","11.4%","15.8%","16.5%","23.4%","121,250","142,583","","(X)","(X)","31.0%"
"Census Tract 10.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,818","0.3%","1.0%","2.8%","3.8%","4.6%","6.6%","6.7%","14.0%","17.5%","42.6%","179,762","228,056","","21.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,910","0.0%","0.0%","0.0%","1.0%","0.0%","6.4%","2.9%","14.5%","16.4%","58.9%","237,619","284,692","","(X)","17.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","1,810","0.0%","0.0%","0.0%","1.0%","0.0%","5.5%","3.0%","12.2%","17.3%","61.0%","239,345","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","908","1.0%","3.2%","8.7%","9.7%","14.4%","7.0%","14.6%","19.7%","15.1%","6.5%","81,848","100,492","","(X)","(X)","28.1%"
"Census Tract 10.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,907","8.7%","5.3%","4.4%","3.6%","9.5%","9.6%","5.8%","18.4%","21.0%","13.7%","102,479","143,128","","20.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","523","0.0%","0.0%","3.8%","0.0%","2.7%","9.2%","9.6%","8.6%","34.0%","32.1%","170,625","186,003","","(X)","14.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","456","0.0%","0.0%","0.0%","0.0%","3.1%","10.5%","11.0%","9.9%","30.9%","34.6%","180,000","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,384","11.9%","7.3%","4.6%","4.9%","12.1%","9.8%","4.4%","22.0%","16.1%","6.8%","73,125","126,926","","(X)","(X)","22.0%"
"Census Tract 11, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,088","6.5%","0.0%","2.1%","0.8%","5.0%","8.7%","13.1%","14.3%","11.6%","37.9%","147,727","232,932","","28.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,280","0.0%","0.0%","0.3%","1.3%","1.3%","3.7%","5.6%","20.4%","15.9%","51.5%","215,000","307,326","","(X)","28.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","1,104","0.0%","0.0%","0.0%","0.0%","1.4%","2.5%","3.6%","17.9%","14.8%","59.7%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","808","16.7%","0.0%","5.0%","0.0%","11.0%","16.6%","24.9%","4.7%","8.7%","12.5%","75,238","105,027","","(X)","(X)","21.7%"
"Census Tract 12, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,498","2.4%","0.4%","6.2%","4.3%","4.2%","9.4%","14.2%","16.6%","11.6%","30.9%","126,250","172,996","","21.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,143","0.0%","0.9%","1.8%","0.0%","3.2%","6.1%","3.7%","18.8%","8.0%","57.4%","235,313","250,841","","(X)","12.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","915","0.0%","1.1%","0.0%","0.0%","0.0%","2.1%","4.6%","19.2%","5.7%","67.3%","249,493","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,355","4.5%","0.0%","9.8%","7.9%","4.9%","12.1%","23.0%","14.7%","15.5%","7.5%","88,096","103,215","","(X)","(X)","27.4%"
"Census Tract 13.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,916","1.6%","0.0%","2.5%","4.7%","5.1%","13.0%","12.8%","24.2%","9.8%","26.4%","127,000","190,271","","28.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","861","0.0%","0.0%","2.9%","4.9%","0.0%","2.7%","11.8%","17.2%","11.7%","48.8%","193,125","279,876","","(X)","28.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","820","0.0%","0.0%","3.0%","5.1%","0.0%","2.8%","12.4%","13.0%","12.3%","51.2%","216,786","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,055","2.8%","0.0%","2.2%","4.5%","9.2%","21.4%","13.6%","29.9%","8.2%","8.2%","84,824","117,143","","(X)","(X)","28.3%"
"Census Tract 13.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","4,811","7.3%","5.2%","2.1%","4.2%","2.3%","13.1%","12.1%","24.2%","12.5%","17.0%","107,256","139,886","","21.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,233","2.9%","0.0%","0.0%","2.8%","0.0%","8.4%","6.7%","24.5%","17.0%","37.7%","154,560","211,639","","(X)","21.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","1,034","3.5%","0.0%","0.0%","0.0%","0.0%","7.3%","8.0%","22.8%","16.2%","42.3%","156,379","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","3,578","8.9%","6.9%","2.8%","4.7%","3.0%","14.8%","14.0%","24.0%","11.0%","9.9%","91,923","115,160","","(X)","(X)","21.7%"
"Census Tract 14.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,452","4.4%","0.3%","4.4%","1.2%","4.2%","15.2%","8.1%","18.7%","5.2%","38.4%","122,419","222,558","","24.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","827","1.2%","0.0%","0.0%","0.0%","0.0%","4.2%","5.2%","20.9%","8.6%","59.9%","250,000+","326,191","","(X)","20.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","783","1.3%","0.0%","0.0%","0.0%","0.0%","4.5%","3.2%","22.1%","8.4%","60.5%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","625","8.6%","0.6%","10.2%","2.7%","9.8%","29.6%","13.3%","15.7%","1.4%","8.0%","54,293","80,181","","(X)","(X)","26.4%"
"Census Tract 14.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,530","6.0%","3.7%","2.6%","6.5%","4.4%","10.4%","8.0%","15.6%","8.8%","34.1%","113,991","175,583","","37.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","681","0.0%","0.0%","2.9%","1.8%","3.2%","3.2%","0.0%","13.7%","16.4%","58.7%","226,948","262,347","","(X)","37.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","579","0.0%","0.0%","0.0%","0.0%","1.7%","3.8%","0.0%","14.9%","17.6%","62.0%","236,319","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","849","10.8%","6.7%","2.4%","10.2%","6.8%","17.4%","13.0%","17.1%","4.6%","11.0%","69,567","100,338","","(X)","(X)","36.2%"
"Census Tract 15, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,123","1.5%","0.0%","2.1%","4.0%","2.9%","6.1%","9.2%","9.5%","13.9%","50.8%","202,431","236,020","","29.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,612","1.9%","0.0%","0.0%","1.7%","2.0%","4.2%","6.7%","6.8%","13.5%","63.2%","235,179","250,012","","(X)","30.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","1,426","0.0%","0.0%","0.0%","1.1%","2.2%","1.2%","7.6%","6.5%","12.4%","69.1%","246,944","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","511","0.0%","0.0%","8.6%","11.0%","5.9%","12.1%","17.2%","17.8%","15.5%","11.9%","89,495","187,557","","(X)","(X)","24.9%"
"Census Tract 16, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,530","0.6%","1.5%","1.9%","1.6%","5.4%","3.9%","4.8%","22.0%","19.2%","39.2%","169,044","200,328","","36.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,096","0.8%","0.7%","0.4%","0.0%","4.2%","2.1%","2.1%","21.3%","18.1%","50.4%","201,667","225,275","","(X)","39.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","801","1.1%","1.0%","0.0%","0.0%","1.0%","1.0%","1.0%","14.6%","20.5%","59.8%","214,152","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","434","0.0%","3.5%","6.7%","5.5%","8.5%","7.6%","11.5%","31.1%","16.6%","9.0%","105,147","125,176","","(X)","(X)","22.6%"
"Census Tract 17.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,488","5.0%","1.1%","3.4%","3.7%","8.6%","17.9%","14.7%","17.1%","6.5%","22.1%","84,924","134,788","","23.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","731","1.5%","0.0%","1.6%","2.1%","8.3%","15.3%","8.2%","21.1%","10.1%","31.7%","132,750","168,581","","(X)","27.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","517","0.0%","0.0%","0.0%","0.0%","5.8%","7.9%","9.5%","21.5%","12.0%","43.3%","174,875","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","757","8.3%","2.1%","5.2%","5.3%","8.9%","20.3%","20.9%","15.5%","3.0%","10.6%","72,470","99,587","","(X)","(X)","20.7%"
"Census Tract 18.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,572","4.9%","13.9%","9.9%","10.2%","9.9%","28.4%","12.6%","4.0%","2.6%","3.6%","52,606","59,161","","27.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","881","6.1%","20.5%","7.3%","12.4%","6.4%","24.0%","9.1%","5.7%","2.8%","5.8%","42,734","60,064","","(X)","28.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","545","0.0%","17.4%","9.7%","11.0%","4.0%","25.0%","9.7%","9.2%","4.6%","9.4%","53,906","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","691","6.2%","5.4%","14.9%","10.6%","13.5%","32.7%","11.7%","1.9%","2.3%","0.9%","44,810","52,582","","(X)","(X)","21.3%"
"Census Tract 18.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,186","10.0%","9.1%","15.3%","12.2%","16.4%","12.5%","4.2%","8.5%","6.9%","4.8%","38,564","61,854","","40.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,173","9.2%","7.3%","15.4%","8.2%","9.5%","17.3%","6.6%","8.6%","8.9%","9.0%","50,536","78,164","","(X)","39.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","562","0.0%","5.2%","19.0%","0.0%","11.9%","16.7%","5.9%","9.8%","18.5%","13.0%","71,952","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,013","19.8%","10.6%","15.2%","16.8%","17.4%","9.5%","1.4%","5.9%","3.5%","0.0%","25,967","36,612","","(X)","(X)","32.1%"
"Census Tract 19.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,421","9.6%","3.7%","6.3%","5.2%","9.6%","10.3%","13.9%","18.2%","11.2%","12.1%","86,927","108,912","","35.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","915","6.8%","0.9%","2.2%","4.3%","7.4%","5.9%","20.7%","25.7%","11.8%","14.4%","103,112","130,734","","(X)","37.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","501","1.6%","0.0%","4.0%","1.4%","3.2%","9.0%","9.6%","33.3%","14.8%","23.2%","130,987","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
